EmployeeNumber,SSNValue,FirstName,LastName,DateOfBirth,HomeStreet1,HomeCity,HomeZip,HomeCountry,Organization.Code,Department.Code,Supervisor,Email,DepartmentDescription,LoginId,CostCenter,EmployeeGroup,PositionCode,PositionDescription
537732,20012974,Joseph Maurie Leopoldt Villavicencio,Abbott,31.07.1954,12 Rose Avenue,Johannesburg,2001,ZA,C1,21158973,584336,no_mail_available,FG-9-ZA-63 - Supply Chain Reporting and Analytics,q9480795,300001,indirect,19000334,Specialist: Finance
537732,20012974,Joseph Maurie Leopoldt Villavicencio,Abdool Khader,31.07.1954,45 Maple Street,Sandton,2192,ZA,C1,21158973,584336,no_mail_available,FG-9-ZA-63 - Supply Chain Reporting and Analytics,q2948452,410100,indirect,1152477,Delivery Manager: Region Integration EU
609585,20012974,Letlotlo Constatine Modisaemang,Abdool Khader,17.08.1955,87 Oak Drive,Randburg,2094,ZA,C1,21158962,609555,no_mail_available,"FG-9-ZA-51 - Used Vehicle Data Management, Portals",q1368885,460004,indirect,1296827,"Head of, IT Line Management"
609585,20012974,Amogelang Mogalatsane Herbert,Abdul,17.08.1955,23 Kingfisher Lane,Johannesburg,2000,ZA,C1,21158962,609555,no_mail_available,"FG-9-ZA-51 - Used Vehicle Data Management, Portals",q5887869,250001,indirect,19000480,Specialist: Product Planner
582763,20012974,Marthinus Hermanus Johnannes,Abdul Karrim,08.01.1956,56 Willow Road,Midrand,2107,ZA,C1,21141868,580929,no_mail_available,"TX-R-352 - Seam Seal, UBS",q5679148,410063,indirect,1134918,Contractor
582908,20012974,Marthinus Hermanus Johnannes,Abdulhak,08.01.1956,102 Cedar Crescent,Randburg,2090,ZA,C1,21105667,584126,no_mail_available,description unavailable,q7694428,410083,indirect,1138686,Contractor
582956,20012974,Robert Hendrik De Villedanet,Abdulla,27.09.1956,34 Birch Street,Sandton,2196,ZA,C1,21126160,514757,no_mail_available,description unavailable,q0476916,410082,indirect,1134916,Contractor
521823,20012974,Dipuo Keitumetse Jacqueline,Abdulla,27.09.1956,78 Elm Avenue,Johannesburg,2001,ZA,C1,21105667,580953,no_mail_available,description unavailable,q2232278,140F14,indirect,1135110,Associate
507213,20012974,Innocent Lehlohonolo Themba,Abdul-Malik,13.06.1957,9 Pine Lane,Midrand,2100,ZA,C1,21158964,383560,no_mail_available,description unavailable,q3483883,410017,indirect,1135343,Contractor
507213,20012974,Innocent Lehlohonolo Themba,Abdul-Malik,13.06.1957,65 Aspen Road,Sandton,2192,ZA,C1,21158964,383560,no_mail_available,description unavailable,q9340329,410063,direct,1134917,Contractor
582930,20012974,Lehlogonolo Mahlatse Martha,Aboo,13.09.1957,41 Fir Street,Randburg,2094,ZA,C1,21141865,580789,no_mail_available,TX-R-332 - Production Framing,q2355836,110P01,indirect,1135127,Specialist: Logistics Structure Planner
582748,20012974,Mmapaseka Lesego Innocentia,Aboo,13.09.1957,29 Spruce Drive,Johannesburg,2000,ZA,C1,21138509,583264,no_mail_available,"TX-R-431 - Headl., Carp., Cent. Cons., Glaz., HVB.",q3768650,410100,indirect,1136251,"Spec., IT Agile Methods"
582977,20012974,Ngoanalekwa Cathrine Taetjo,Abrahams,02.03.1958,88 Chestnut Avenue,Midrand,2107,ZA,C1,21141866,584124,no_mail_available,TX-R-333 - Production Finish,q5315878,420006,indirect,1135310,Contractor
536341,20012974,Nikodemus Reuben Tsholofelo,Abrahams,02.03.1958,53 Poplar Lane,Randburg,2090,ZA,C1,21158942,622177,no_mail_available,description unavailable,q6255424,110P01,indirect,1136743,Specialist: Logistics Process Planner
20014773,20012974,Nikodemus Reuben Tsholofelo,Abrahams,11.05.1958,17 Magnolia Street,Sandton,2196,ZA,C1,21148337,508127,no_mail_available,PL-AP-ZA-5 - Talent Management,q2623235,O200,indirect,19000276,Specialist: End of Term
20002283,20012974,Daniel Jacobus Christoffel,Abrahams,11.05.1958,71 Walnut Road,Johannesburg,2001,ZA,C1,21145443,615109,no_mail_available,TV-3-R-1 - Mat. Ctrl. Launch / Series Local Sup.,q9165301,V700,indirect,1334310,Corporate Sales Administrator
20007397,20012974,Daniel Jacobus Christoffel,Abrahams,30.08.1958,5 Cypress Crescent,Midrand,2100,ZA,C1,21158958,680061,no_mail_available,"FG-9-ZA-43 - Purchasing, Supplier Network",q7150235,O100,indirect,19000722,Administrator
20007397,20012974,Kearabetswe Teboho Richard,Abrahams,30.08.1958,38 Alder Drive,Sandton,2192,ZA,C1,21158958,680061,no_mail_available,"FG-9-ZA-43 - Purchasing, Supplier Network",q4776701,410060,direct,1136377,Contractor
